frame,object_index,tlv1_range,tlv1_angle,tlv1_elevation,tlv1_doppler,tlv1_x_derived,tlv1_y_derived,tlv1_z_derived,tlv7_snr,tlv7_noise,tlv8_x,tlv8_y,tlv8_z,tlv8_doppler,tlv9_snr,tlv9_noise,tlv11_targetID,tlv10_targetID,tlv10_x,tlv10_y,tlv10_vx,tlv10_vy,tlv10_ax,tlv10_ay,tlv10_z,tlv10_vz,tlv10_az
14,0,0.633198082447052,-0.06266342848539352,-0.06254076212644577,0.294373095035553,-0.03957487844080954,0.6307198026504282,-0.039574880361458765,172,569,,,,,-1,-1,-1,0,-0.010733517818152905,0.5315037369728088,-0.441812664270401,0.2859540283679962,0.9498286247253418,0.6031359434127808,0.14846809208393097,0.14334890246391296,0.0
14,1,0.7035534381866455,-0.09407233446836472,-0.06254076212644577,0.294373095035553,-0.06595813602281068,0.6990732579403034,-0.043972090118352035,157,567,,,,,-1,-1,-1,-1,,,,,,,,,
15,0,0.7035534381866455,-0.03131633251905441,0.06254076212644577,0.1471865475177765,-0.021986044588310782,0.7018336765347146,0.043972090118352035,150,589,,,,,-1,-1,-1,0,-0.01087675616145134,0.5870838165283203,-0.37327253818511963,0.4489228129386902,0.9431445598602295,0.6767551302909851,0.1032889187335968,-0.12994439899921417,0.0
15,1,0.8442640900611877,0.3179844617843628,-0.0312550887465477,0.1471865475177765,0.26383253064314655,0.8015473619825648,-0.02638325302288784,173,502,,,,,-1,-1,-1,-1,,,,,,,,,
15,2,0.7035534381866455,-0.06257136166095734,0.0312550887465477,0.294373095035553,-0.04397208993083099,0.7018336765298994,0.02198604511706245,152,556,,,,,-1,-1,-1,-1,,,,,,,,,
16,0,0.8442640900611877,0.09697651118040085,-0.252680242061615,0.0,0.07914975649811855,0.8136143487343585,-0.211066011822604,190,479,,,,,-1,-1,-1,0,0.03270837664604187,0.6154464483261108,-0.1451605260372162,0.399906724691391,0.9368791580200195,0.6977413296699524,-0.005491465330123901,-0.5558732748031616,0.0
16,1,0.8442640900611877,0.09697651118040085,-0.252680242061615,-0.294373095035553,0.07914975649811855,0.8136143487343585,-0.211066011822604,186,505,,,,,-1,-1,-1,-1,,,,,,,,,
16,2,0.633198082447052,0.22053326666355133,0.0,-0.1471865475177765,0.1385120840835034,0.6178626175594929,0.0,151,593,,,,,-1,-1,-1,-1,,,,,,,,,
16,3,0.7035534381866455,0.12538939714431763,-0.0312550887465477,-0.1471865475177765,0.08794418185788913,0.6976889529594883,-0.02198604511706245,161,593,,,,,-1,-1,-1,-1,,,,,,,,,
16,4,0.8442640900611877,0.0962253212928772,-0.22053326666355133,-0.1471865475177765,0.07914975918507376,0.8200057574285384,-0.18468277443183242,203,521,,,,,-1,-1,-1,-1,,,,,,,,,
17,0,0.633198082447052,0.12588518857955933,-0.09388787299394608,0.0,0.0791497618058495,0.625420851839681,-0.05936231889699662,152,580,0.2235845923423767,0.4357793927192688,-0.05147894471883774,0.0,767,0,0,0,0.030794063583016396,0.6023057103157043,-0.13292770087718964,0.26265227794647217,0.9317317008972168,0.4703231453895569,-0.020827513188123703,-0.5212762355804443,0.0
17,1,0.35177671909332275,0.0312550887465477,0.0,0.294373095035553,0.010993022558531225,0.35160491115894577,0.0,165,535,0.28142136335372925,0.486545205116272,0.029456911608576775,0.0,111,0,0,-1,,,,,,,,,
17,2,0.42213204503059387,0.0,0.0312550887465477,0.294373095035553,0.0,0.42192587551807476,0.01319162651144392,166,531,-0.08089549094438553,0.752662181854248,0.160904660820961,0.0,50,0,0,-1,,,,,,,,,
17,3,0.633198082447052,0.09393388777971268,-0.0312550887465477,-0.294373095035553,0.05936232022923373,0.6300987095373691,-0.01978744023282717,169,567,0.3720092177391052,0.7250676155090332,-0.4152285158634186,0.0,9,0,0,-1,,,,,,,,,
17,4,0.633198082447052,0.12557463347911835,-0.06254076212644577,-0.1471865475177765,0.07914976317984727,0.6269840153046758,-0.039574880361458765,157,618,1.2261844873428345,1.7959972620010376,-0.5826976895332336,0.0,134,0,0,-1,,,,,,,,,
17,5,,,,,,,,-1,-1,-0.12150976061820984,2.3153581619262695,0.12150976061820984,0.0,141,0,-1,-1,,,,,,,,,
17,6,,,,,,,,-1,-1,0.49734169244766235,2.3364572525024414,-0.12519186735153198,0.0,26,0,-1,-1,,,,,,,,,
17,7,,,,,,,,-1,-1,-0.279457151889801,2.6441304683685303,0.279457151889801,0.0,21,0,-1,-1,,,,,,,,,
17,8,,,,,,,,-1,-1,0.4402400255203247,2.5901482105255127,-1.008523941040039,0.0,15,0,-1,-1,,,,,,,,,
18,0,0.35177671909332275,-0.09388787299394608,0.0,0.1471865475177765,-0.032979066674768714,0.3502274136290928,0.0,152,582,0.20031265914440155,0.4233884811401367,-0.15218697488307953,0.0,132,0,0,0,0.0018202941864728928,0.5850272178649902,-0.2071990817785263,0.1669623851776123,0.9282347559928894,0.45748427510261536,-0.031233910471200943,-0.46711573004722595,0.0
18,1,0.42213204503059387,-0.06257136166095734,-0.0312550887465477,0.1471865475177765,-0.026383252840911503,0.42110018808025534,-0.01319162651144392,200,575,0.1170215755701065,0.5379626750946045,-0.1170215755701065,0.0,31,0,0,-1,,,,,,,,,
18,2,0.492487370967865,-0.06266342848539352,-0.06254076212644577,0.1471865475177765,-0.030780459353834028,0.49055982011861854,-0.030780460847672234,197,568,-0.07354135811328888,0.6650654673576355,-0.21740996837615967,0.0,39,0,0,-1,,,,,,,,,
18,3,0.5628427267074585,0.0,-0.12532782554626465,0.1471865475177765,0.0,0.558428206186559,-0.0703553376990602,154,557,-0.08089549094438553,0.752662181854248,-0.160904660820961,0.0,42,0,0,-1,,,,,,,,,
18,4,0.35177671909332275,-0.06254076212644577,0.0,0.294373095035553,-0.021986045059176017,0.35108898290706647,0.0,179,551,0.4790489077568054,1.2303203344345093,-0.20911400020122528,0.0,12,0,0,-1,,,,,,,,,
18,5,0.42213204503059387,-0.03127036616206169,-0.0312550887465477,0.294373095035553,-0.013191626501305247,0.42171960521410906,-0.01319162651144392,222,547,1.0905077457427979,1.8335750102996826,-0.45345860719680786,0.0,12,0,0,-1,,,,,,,,,
18,6,0.492487370967865,-0.03131633251905441,-0.06254076212644577,0.294373095035553,-0.015390230094230474,0.49128353789893164,-0.030780460847672234,212,541,1.3233225345611572,1.7602225542068481,-0.468086302280426,0.0,121,0,0,-1,,,,,,,,,
18,7,0.35177671909332275,0.03127036616206169,-0.0312550887465477,0.44155964255332947,0.01099302255008233,0.35143301923169307,-0.010993022558531225,167,500,1.3646764755249023,1.8152296543121338,-0.4827140271663666,0.0,131,0,0,-1,,,,,,,,,
